algorithm   n   comparisons
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		0	 0
insertionBS 	0	 0
insertion 	0	 0
selection 	0	 0
quick 		0	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		1	 0
insertionBS 	1	 0
insertion 	1	 0
selection 	1	 0
quick 		1	 0
bubble 		10	 44
insertionBS 	10	 22
insertion 	10	 27
selection 	10	 45
quick 		10	 38
bubble 		10	 44
insertionBS 	10	 24
insertion 	10	 37
selection 	10	 45
quick 		10	 44
bubble 		10	 45
insertionBS 	10	 21
insertion 	10	 35
selection 	10	 45
quick 		10	 70
bubble 		10	 45
insertionBS 	10	 23
insertion 	10	 34
selection 	10	 45
quick 		10	 42
bubble 		10	 42
insertionBS 	10	 20
insertion 	10	 27
selection 	10	 45
quick 		10	 48
bubble 		10	 30
insertionBS 	10	 21
insertion 	10	 22
selection 	10	 45
quick 		10	 51
bubble 		10	 39
insertionBS 	10	 23
insertion 	10	 26
selection 	10	 45
quick 		10	 51
bubble 		10	 45
insertionBS 	10	 24
insertion 	10	 34
selection 	10	 45
quick 		10	 64
bubble 		10	 39
insertionBS 	10	 21
insertion 	10	 23
selection 	10	 45
quick 		10	 39
bubble 		10	 39
insertionBS 	10	 24
insertion 	10	 37
selection 	10	 45
quick 		10	 46
bubble 		100	 4859
insertionBS 	100	 544
insertion 	100	 2704
selection 	100	 4950
quick 		100	 1931
bubble 		100	 4884
insertionBS 	100	 528
insertion 	100	 2753
selection 	100	 4950
quick 		100	 1576
bubble 		100	 4884
